Sample_ID;Upper_Depth_cm;Lower_Depth_cm;Reference;Plot;pH_H2O;pH_KCl;Electrical_Conductivity_mS_cm;Organic_Carbon_pct;Organic_Matter_pct;Bulk_Density_g_cm3;CN_Ratio;Kjeldahl_Nitrogen_mg_kg;Nitrate_Nitrogen_mg_kg;Ammonium_Nitrogen_mg_kg;Nitrogen_pct;Total_Nitrogen_mg_kg;Phosphorus_mg_kg;Potassium_meq_100g;Calcium_meq_100g;Magnesium_meq_100g;Sodium_meq_100g;Boron_mg_kg;Iron_mg_kg;Copper_mg_kg;Zinc_mg_kg;Manganese_mg_kg;Carbonates_pct;CEC_meq_100g;Active_Lime_pct;Clay_pct;Silt_pct;Sand_pct;Gravel_pct;USDA_Classification;CaMg_Ratio;KMg_Ratio;CaK_Ratio;Longitude_EPSG4326;Latitude_EPSG4326
NA_EL_HACHO;0;15;;El Hacho;;;;1.26;;1.405011714;;;;;;;;;;;;;;;;;;;;;;;23.2;;;;;-4.828025;37.289589
NA_EL_HACHO;0;15;;El Hacho;;;;1.59;;1.368289702;;;;;;;;;;;;;;;;;;;;;;;15.2;;;;;-4.828374;37.289463
NA_EL_HACHO;0;15;;El Hacho;;;;1.73;;1.359478456;;;;;;;;;;;;;;;;;;;;;;;8;;;;;-4.828317;37.28922
NA_EL_HACHO;0;15;;El Hacho;;;;1.27;;1.157787511;;;;;;;;;;;;;;;;;;;;;;;15.3;;;;;-4.827656;37.289892
NA_EL_HACHO;0;15;;El Hacho;;;;1.49;;1.166344097;;;;;;;;;;;;;;;;;;;;;;;16.4;;;;;-4.827743;37.289688
NA_EL_HACHO;0;15;;El Hacho;;;;1.97;;1.162014872;;;;;;;;;;;;;;;;;;;;;;;15.8;;;;;-4.828056;37.289602
NA_EL_HACHO;0;15;;El Hacho;;;;2.39;;1.202862382;;;;;;;;;;;;;;;;;;;;;;;12.9;;;;;-4.828405;37.289476
NA_EL_HACHO;0;15;;El Hacho;;;;2.38;;1.366659876;;;;;;;;;;;;;;;;;;;;;;;23.1;;;;;-4.828348;37.289233
NA_LA_PALMA;0;15;;La Palma;;;;1.52;;1.193633493;;;;;;;;;;;;;;;;;;;;;;;1.9;;;;;-4.928898;37.335974
NA_LA_PALMA;0;15;;La Palma;;;;1.62;;1.11966996;;;;;;;;;;;;;;;;;;;;;;;5.3;;;;;-4.928715;37.335859
